,0,1,accuracy,macro avg,weighted avg
precision,0.7330022383883604,0.7138811802684488,0.7224360779895471,0.7234417093284047,0.7231751167896001
recall,0.674715085957118,0.7675678967239069,0.7224360779895471,0.7211414913405125,0.7224360779895471
f1-score,0.7026519596338888,0.7397517532791457,0.7224360779895471,0.7212018564565172,0.7217191148694664
support,15531.0,16422.0,0.7224360779895471,31953.0,31953.0
