,0,1,accuracy,macro avg,weighted avg
precision,0.7214252037448643,0.7182275225067228,0.7197133289518981,0.7198263631257935,0.7197817799257313
recall,0.6896529521601957,0.7481427353550115,0.7197133289518981,0.7188978437576037,0.7197133289518981
f1-score,0.705181381262756,0.732879980911477,0.7197133289518981,0.7190306810871165,0.7194168647363358
support,15531.0,16422.0,0.7197133289518981,31953.0,31953.0
