,0,1,accuracy,macro avg,weighted avg
precision,0.7227396820298699,0.6651110313349402,0.6875723719212593,0.6939253566824051,0.693121877701258
recall,0.5795505762668212,0.7897332846181951,0.6875723719212593,0.6846419304425082,0.6875723719212593
f1-score,0.6432731820618188,0.722084574482893,0.6875723719212593,0.6826788782723558,0.683777694512571
support,15531.0,16422.0,0.6875723719212593,31953.0,31953.0
